UTC  SUIadv  ARGadv  SUIvol
00:30  0.2600  0.7500  38978.40
00:31  0.2600  0.7500  39752.20
00:32  0.2600  0.7500  49094.99
00:33  0.2600  0.7500  33865.50
00:34  0.2600  0.7500  45838.64
00:35  0.2600  0.7500  47574.32
00:36  0.2600  0.7500  55852.50
00:37  0.2600  0.7500  41188.97
00:38  0.2600  0.7500  48699.18
00:39  0.2600  0.7600  45766.39
00:40  0.2600  0.7600  46589.90
00:41  0.2600  0.7600  44751.12
00:42  0.2600  0.7600  41784.84
00:43  0.2600  0.7600  62317.89
00:44  0.2600  0.7600  50417.83
00:45  0.2600  0.7600  49011.01
00:46  0.2600  0.7600  53257.81
00:47  0.2600  0.7600  70209.09
00:48  0.2600  0.7600  52890.68
00:49  0.2600  0.7600  45647.38
00:50  0.2600  0.7600  48293.49
00:51  0.2600  0.7600  50207.01
00:52  0.2600  0.7600  64714.16
00:53  0.2600  0.7600  41690.58
00:54  0.2600  0.7600  66419.27
00:55  0.2600  0.7600  85794.86
00:56  0.2600  0.7600  85795.53
00:57  0.2500  0.7600  148554.97
00:58  0.2500  0.7600  101760.12
00:59  0.2500  0.7600  107986.24
01:00  0.2500  0.7600  101406.48
01:01  0.2500  0.7600  131183.97
01:02  0.2500  0.7600  126509.03
01:03  0.2500  0.7600  111941.84
01:04  0.2500  0.7600  126509.27
01:05  0.2500  0.7600  118765.47
01:06  0.2500  0.7600  107422.91
01:07  0.2600  0.7600  145298.29
01:08  0.2600  0.7500  178388.16
01:09  0.2600  0.7500  185227.14
01:10  0.2500  0.7600  104027.35
01:11  0.1400  0.8600  193603.16
01:12  0.1100  0.9000  271605.26
01:13  0.1100  0.8900  383594.50
01:14  0.1100  0.9000  306745.29
01:15  0.1200  0.8900  303215.23
01:16  0.1200  0.8900  240087.32
01:17  0.1200  0.8800  124743.69
01:18  0.1200  0.8900  135479.30
01:19  0.1200  0.8900  99471.13
01:20  0.1300  0.8900  113203.76
01:21  0.1300  0.8800  105060.69
01:22  0.1300  0.8800  122764.85
01:23  0.1300  0.8800  101308.37
01:24  0.1200  0.8900  60976.92
01:25  0.1200  0.8900  85339.46
01:26  0.1200  0.8900  58099.46
01:27  0.1200  0.8900  109185.29
01:28  0.1200  0.8800  94864.22
01:29  0.1200  0.8900  68169.13
01:30  0.1200  0.8900  69089.30
01:31  0.1200  0.8900  72381.80
01:32  0.1300  0.8800  79124.61
01:33  0.1200  0.8900  108820.54
01:34  0.1200  0.8900  97183.83
01:35  0.1200  0.8800  135035.52
01:36  0.1300  0.8700  93974.23
01:37  0.1300  0.8800  93279.28
01:38  0.1300  0.8800  135949.00
01:39  0.1300  0.8800  61757.94
01:40  0.1300  0.8800  64350.56
01:41  0.1300  0.8800  63704.74
01:42  0.1300  0.8800  87951.84
01:43  0.1300  0.8800  68997.45
01:44  0.1300  0.8800  99530.33
01:45  0.1300  0.8800  50985.31
01:46  0.1300  0.8800  34244.79
01:47  0.1200  0.8800  27056.10
01:48  0.1200  0.8800  40992.01
01:49  0.1300  0.8800  38864.72
01:50  0.1300  0.8800  49403.19
01:51  0.1200  0.8800  36307.67
01:52  0.1300  0.8800  49559.71
01:53  0.1100  0.8900  60837.01
01:54  0.1100  0.8900  48860.80
01:55  0.1200  0.8900  82209.11
01:56  0.1200  0.8900  36494.00
01:57  0.1200  0.8900  57038.61
01:58  0.1200  0.8900  47998.11
01:59  0.1200  0.8900  48976.46
02:00  0.1200  0.8900  38992.93
02:01  0.1100  0.8900  35030.38
02:02  0.1200  0.8900  53129.85
02:03  0.1200  0.8900  34516.51
02:04  0.1200  0.8900  66766.74
02:05  0.1100  0.8900  28371.68
02:06  0.1100  0.8900  32902.77
02:07  0.1200  0.8900  51078.16
02:08  0.1100  0.8900  47309.80
02:09  0.1200  0.8900  58273.98
02:10  0.1200  0.8900  63191.45
02:11  0.1100  0.8800  254040.74
02:12  0.1100  0.8900  75015.35
02:13  0.0900  0.9100  181582.01
02:14  0.1000  0.9100  140385.92
02:15  0.1000  0.9100  80344.59
02:16  0.0900  0.9100  67111.79
02:17  0.0900  0.9100  82583.57
02:18  0.1000  0.9000  84607.22
02:19  0.1000  0.9100  86484.27
02:20  0.0900  0.9000  63739.52
02:21  0.1000  0.9100  51632.05
02:22  0.1000  0.9000  106749.05
02:23  0.1000  0.9000  76813.75
02:24  0.1000  0.9000  47903.83
02:25  0.1000  0.9100  134356.09
02:26  0.0900  0.9000  95892.38
02:27  0.0900  0.9000  119878.79
02:28  0.1100  0.9000  126936.49
02:29  0.3000  0.6900  619796.72
02:30  0.2900  0.7100  1282455.45
02:31  0.3200  0.6800  766426.90
02:32  0.2700  0.7300  451135.00
02:33  0.1600  0.8500  533969.27
02:34  0.1700  0.8400  404451.93
02:35  0.1600  0.8500  346460.41
02:36  0.1600  0.8400  395318.58
02:37  0.1600  0.8500  332869.11
02:38  0.1600  0.8400  372869.38
02:39  0.1600  0.8500  305930.16
02:40  0.1700  0.8500  257838.91
02:41  0.1700  0.8400  275713.44
02:42  0.1700  0.8400  233019.49
02:43  0.1700  0.8400  268576.93
02:44  0.1600  0.8400  248646.87
02:45  0.1700  0.8300  226802.48
02:46  0.1700  0.8400  242080.01
02:47  0.1700  0.8400  274937.95
02:48  0.1900  0.8100  283376.98
02:49  0.2000  0.8100  226747.62
02:50  0.2100  0.8000  204871.06
02:51  0.2100  0.7900  242834.96
02:52  0.2100  0.8100  288884.42
02:53  0.2100  0.8000  211242.86
02:54  0.2200  0.7900  593938.77
02:55  0.2200  0.7900  183186.88
02:56  0.2100  0.7900  228721.92
02:57  0.2200  0.7800  144391.59
02:58  0.2300  0.7800  189847.68
02:59  0.2200  0.7800  150161.75
03:00  0.2300  0.7500  142613.91
03:01  0.2500  0.7500  191448.85
03:02  0.2500  0.7500  227865.57
03:03  0.2500  0.7500  237623.73
03:04  0.2500  0.7500  222397.11
03:05  0.2600  0.7500  215512.70
03:06  0.2600  0.7500  195019.80
03:07  0.2200  0.7800  269194.15
03:08  0.2300  0.7800  704273.68
03:09  0.2200  0.7800  216788.52
03:10  0.2200  0.7800  348358.52
03:11  0.2300  0.7800  298088.98
03:12  0.2300  0.7700  200430.32
03:13  0.2600  0.7500  210350.92
03:14  0.2800  0.7200  245030.31
03:15  0.3000  0.7100  233754.44
03:16  0.3000  0.7100  368703.98
03:17  0.2900  0.7100  142019.70
03:18  0.2800  0.7200  132964.30
03:19  0.2800  0.7200  130989.55
03:20  0.2900  0.7100  145069.54
03:21  0.3000  0.7100  263163.41
03:22  0.3200  0.6900  327234.76
03:23  0.3300  0.6800  186468.59
03:24  0.3300  0.6800  240669.87
03:25  0.3200  0.6800  231820.19
03:26  0.3200  0.6700  178173.50
03:27  0.3300  0.6800  147955.43
03:28  0.3200  0.6700  180912.39
03:29  0.3100  0.7000  168349.90
03:30  0.3300  0.6800  352389.19
03:31  0.3400  0.6600  129302.88
03:32  0.3500  0.6800  135391.94
03:33  0.0200  0.9700  1217608.65
03:34  0.0200  0.9800  919757.39
03:35  0.0100  0.9800  960382.11
03:36  0.0300  0.9700  745567.19
03:37  0.0200  0.9700  667818.00
03:38  0.0300  0.9700  381702.10
03:39  0.0400  0.9700  468021.32
03:40  0.0100  0.9900  342102.81
03:41  0.0200  0.9800  301546.64
03:42  0.0100  0.9900  1930597.43
03:43  0.0100  0.9900  32843.79
03:44  0.0100  0.9900  25899.62
03:45  0.0100  0.9900  15275.13
03:46  0.0100  0.9900  5635.11
