UTC  SUI  ARG  TIE  SUIvol
00:30  0.1600  0.5800  0.2900  5162.28
00:31  0.1600  0.5700  0.2900  3483.33
00:32  0.1500  0.5700  0.2900  46763.57
00:33  0.1500  0.5700  0.2900  3835.86
00:34  0.1500  0.5700  0.2900  6503.87
00:35  0.1500  0.5700  0.2900  5029.71
00:36  0.1500  0.5700  0.3000  4608.54
00:37  0.1400  0.5700  0.3000  4070.98
00:38  0.1500  0.5700  0.3000  6131.86
00:39  0.1500  0.5700  0.3000  9707.03
00:40  0.1500  0.5700  0.3000  72584.97
00:41  0.1500  0.5700  0.3000  4529.18
00:42  0.1500  0.5700  0.3000  3959.50
00:43  0.1500  0.5700  0.3000  4553.79
00:44  0.1400  0.5700  0.3000  6704.37
00:45  0.1500  0.5700  0.3000  6612.49
00:46  0.1500  0.5700  0.3000  4216.33
00:47  0.1500  0.5700  0.3000  5999.11
00:48  0.1500  0.5700  0.3000  7094.54
00:49  0.1500  0.5700  0.3000  3114.57
00:50  0.1500  0.5700  0.3000  6183.68
00:51  0.1500  0.5700  0.3000  2465.24
00:52  0.1500  0.5700  0.2900  12823.99
00:53  0.1500  0.5700  0.3000  9520.45
00:54  0.1500  0.5700  0.3000  9793.05
00:55  0.1500  0.5700  0.3000  24011.57
00:56  0.1500  0.5700  0.3000  8994.86
00:57  0.1500  0.5700  0.3000  18581.59
00:58  0.1500  0.5700  0.3000  18182.61
00:59  0.1500  0.5700  0.3000  22096.50
01:00  0.1500  0.5600  0.3000  9774.68
01:01  0.1500  0.5700  0.3000  55600.15
01:02  0.1600  0.5700  0.3000  12427.11
01:03  0.1500  0.5700  0.3000  8658.44
01:04  0.1600  0.5600  0.3000  13845.45
01:05  0.1600  0.5700  0.2900  12923.96
01:06  0.1600  0.5700  0.3000  6820.35
01:07  0.1800  0.5400  0.3000  10290.95
01:08  0.1800  0.5400  0.3000  26833.33
01:09  0.1700  0.5500  0.3000  14372.00
01:10  0.1700  0.5600  0.3000  9498.47
01:11  0.0600  0.7500  0.1800  35037.93
01:12  0.0600  0.7700  0.1900  18891.58
01:13  0.0600  0.7700  0.1700  41391.14
01:14  0.0600  0.7600  0.1800  161280.18
01:15  0.0700  0.7700  0.1800  31453.45
01:16  0.0700  0.7700  0.1700  166658.85
01:17  0.0700  0.7800  0.1800  8668.83
01:18  0.0600  0.7800  0.1800  9549.12
01:19  0.0700  0.7800  0.1800  17621.87
01:20  0.0700  0.7800  0.1700  33399.34
01:21  0.0600  0.7800  0.1700  16599.59
01:22  0.0700  0.7700  0.1700  7120.75
01:23  0.0700  0.7700  0.1700  16458.19
01:24  0.0700  0.7800  0.1700  7758.08
01:25  0.0700  0.7800  0.1700  10526.72
01:26  0.0700  0.7700  0.1700  6637.46
01:27  0.0700  0.7800  0.1700  14677.47
01:28  0.0700  0.7800  0.1700  33960.63
01:29  0.0600  0.7800  0.1800  183848.18
01:30  0.0500  0.7800  0.1800  18433.83
01:31  0.0600  0.7800  0.1800  10014.38
01:32  0.0500  0.7800  0.1800  56379.44
01:33  0.0500  0.7700  0.1900  12066.08
01:34  0.0500  0.7700  0.1900  28593.82
01:35  0.0700  0.7600  0.1900  64462.27
01:36  0.0600  0.7600  0.1900  5406.30
01:37  0.0600  0.7600  0.1900  6612.92
01:38  0.0600  0.7700  0.1900  2316.63
01:39  0.0600  0.7700  0.1800  2907.32
01:40  0.0600  0.7700  0.1900  8903.29
01:41  0.0600  0.7700  0.1900  6217.31
01:42  0.0600  0.7600  0.1900  9020.77
01:43  0.0600  0.7700  0.1900  6711.43
01:44  0.0600  0.7800  0.1800  7530.80
01:45  0.0500  0.7700  0.1700  13114.04
01:46  0.0600  0.7800  0.1700  2986.67
01:47  0.0600  0.7800  0.1700  16451.56
01:48  0.0600  0.7800  0.1600  4008.62
01:49  0.0500  0.7800  0.1600  17609.41
01:50  0.0500  0.7900  0.1700  2836.83
01:51  0.0500  0.7900  0.1700  3040.35
01:52  0.0500  0.7800  0.1600  8039.78
01:53  0.0500  0.7800  0.1700  7127.64
01:54  0.0500  0.7900  0.1700  5625.72
01:55  0.0500  0.7900  0.1700  11391.08
01:56  0.0500  0.7900  0.1700  11830.33
01:57  0.0500  0.7900  0.1700  14856.47
01:58  0.0400  0.7900  0.1700  3734.31
01:59  0.0500  0.7900  0.1700  9528.92
02:00  0.0500  0.7900  0.1700  3264.16
02:01  0.0500  0.7800  0.1600  4443.49
02:02  0.0400  0.7900  0.1700  7088.06
02:03  0.0500  0.7900  0.1700  4359.28
02:04  0.0400  0.7900  0.1700  3577.25
02:05  0.0500  0.7900  0.1700  5044.50
02:06  0.0500  0.7900  0.1700  4237.89
02:07  0.0500  0.7800  0.1700  7395.83
02:08  0.0500  0.7900  0.1700  24662.29
02:09  0.0500  0.7900  0.1700  7970.19
02:10  0.0500  0.8000  0.1700  7517.51
02:11  0.0800  0.7300  0.2400  30957.26
02:12  0.0500  0.8000  0.1700  240653.26
02:13  0.0400  0.8100  0.1500  14685.05
02:14  0.0400  0.8000  0.1700  10058.56
02:15  0.0300  0.8100  0.1600  13422.58
02:16  0.0400  0.8100  0.1600  7160.65
02:17  0.0500  0.8000  0.1700  12689.18
02:18  0.0500  0.8000  0.1800  5858.77
02:19  0.0400  0.7900  0.1800  10224.25
02:20  0.0400  0.8000  0.1800  232321.88
02:21  0.0400  0.8000  0.1800  17043.07
02:22  0.0400  0.7900  0.1800  8204.64
02:23  0.0400  0.8000  0.1800  19009.03
02:24  0.0400  0.8000  0.1700  5102.22
02:25  0.0400  0.7800  0.1800  43346.76
02:26  0.0400  0.7900  0.2000  18502.30
02:27  0.0400  0.7900  0.1800  67675.42
02:28  0.0400  0.7800  0.1900  10106.66
02:29  0.1500  0.3400  0.5000  40348.43
02:30  0.1600  0.3400  0.5000  74148.39
02:31  0.1600  0.3400  0.5100  106924.19
02:32  0.1400  0.5100  0.3800  88723.29
02:33  0.0800  0.5200  0.4300  150668.83
02:34  0.0600  0.5200  0.4300  81411.71
02:35  0.0500  0.5200  0.4500  62089.27
02:36  0.0500  0.5200  0.4500  67739.41
02:37  0.0500  0.5100  0.4600  68214.11
02:38  0.0500  0.5000  0.4600  86578.81
02:39  0.0500  0.5100  0.4600  67958.14
02:40  0.0500  0.4900  0.4700  85022.39
02:41  0.0500  0.4600  0.5000  83341.80
02:42  0.0500  0.4300  0.5100  166467.09
02:43  0.0500  0.4300  0.5300  105700.04
02:44  0.0400  0.4200  0.5500  76343.22
02:45  0.0500  0.3800  0.5700  51357.73
02:46  0.0500  0.3700  0.6000  170798.01
02:47  0.0400  0.3600  0.6100  42987.49
02:48  0.0500  0.3100  0.6300  272233.42
02:49  0.0400  0.3200  0.6500  149113.05
02:50  0.0400  0.3000  0.6600  66421.86
02:51  0.0400  0.2700  0.6900  105777.11
02:52  0.0300  0.3100  0.6500  54698.25
02:53  0.0400  0.2800  0.7000  91246.86
02:54  0.0300  0.2400  0.7200  139528.14
02:55  0.0300  0.2600  0.7200  71653.66
02:56  0.0200  0.2100  0.7800  150367.83
02:57  0.0300  0.1600  0.8100  217228.50
02:58  0.0200  0.1200  0.8500  59695.02
02:59  0.0100  0.1100  0.8700  52324.85
03:00  0.0100  0.0600  0.9300  62777.33
03:01  0.0100  0.0100  0.9900  42765.12
03:02  0.0100  0.0100  0.9900  51648.72
03:03  0.0100  0.0100  0.9900  54230.33
03:04  0.0100  0.0100  0.9900  31869.75
03:05  0.0100  0.0100  0.9900  46717.68
03:06  0.0100  0.0100  0.9900  14896.42
